1,wz,right,right,100,cued,/,1883,-32768,-32768
1,wz,left,right,300,uncued,/,6293,6907,/
1,wz,right,right,0,cued,/,9517,10009,/
1,wz,left,left,100,cued,z,12719,13019,/
1,wz,right,left,0,uncued,z,15629,15937,/
1,wz,right,left,700,uncued,z,19247,19841,/
1,wz,left,right,0,uncued,/,22451,22891,/
1,wz,right,right,700,cued,/,26201,26681,/
1,wz,right,left,100,uncued,z,29391,29987,/
1,wz,left,right,100,uncued,/,32696,33297,/
1,wz,right,right,300,cued,/,36207,36691,/
1,wz,left,left,0,cued,z,39300,40105,/
1,wz,left,right,700,uncued,/,43414,43531,/
1,wz,left,left,700,cued,z,46841,47369,/
1,wz,left,left,300,cued,z,50278,50499,/
1,wz,right,left,300,uncued,z,53409,54123,/
